yes,continue,haojun
yeah,continue,haojun
no,exit,haojun
i don't know,exit,haojun
same,continue,haojun
me too,continue,haojun
i agree,continue,haojun
because,exit,haojun
sure,continue,haojun
yup,continue,haojun
okay,continue,haojun
it's fun,continue,haojun
because it's fun,continue,haojun
it's boring,exit,haojun
well,exit,haojun
i don't,exit,haojun
yeah me too,continue,haojun
good,continue,haojun
the same,continue,haojun
i feel the same way,continue,haojun
because it's boring,continue,haojun
what,exit,haojun
not really,exit,haojun
repeat,exit,haojun
they're cute,continue,haojun
i like dogs,continue,haojun
same here,continue,haojun
i don't like it,exit,haojun
nothing,exit,haojun
same thing,continue,haojun
i like,exit,haojun
what did you say,exit,haojun
uh,exit,haojun
i like it,exit,haojun
they're fun,continue,haojun
yeah same,continue,haojun
me,exit,haojun
yes i do,continue,haojun
cool,continue,haojun
i do,continue,haojun
boring,exit,haojun
because they're fun,continue,haojun
because they're cute,continue,haojun
i,exit,haojun
i just don't,exit,haojun
cause,exit,haojun
2,exit,haojun
i like animals,exit,haojun
i guess,exit,haojun
yes i am,continue,haojun
likewise,continue,haojun